,elements,temp,conv,comp,filename,flow,support,bet,pressure,selectivity,title
4,Pd,423.0,12.0,"{'CO': '1.0', 'H2': '7.0'}",Reaction kinetics studies of the conversions of formic acid and butyl formate over carbon-supported palladium in the liquid phase ,,,,,,Reaction kinetics studies of the conversions of formic acid and butyl formate over carbon-supported palladium in the liquid phase 
5,Pd,423.0,15.0,"{'CO': '1.0', 'H2': '7.0'}",Reaction kinetics studies of the conversions of formic acid and butyl formate over carbon-supported palladium in the liquid phase ,,,,,,Reaction kinetics studies of the conversions of formic acid and butyl formate over carbon-supported palladium in the liquid phase 
0,VAg,773.15,2.0,"{'CO': ""'7.1'"", 'H2O': ""'32.9'"", 'N2': ""'60.04'""}",Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts ,50.0|ml/min,,,,,Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts 
1,VAg,823.15,10.0,"{'CO': ""'7.1'"", 'H2O': ""'32.9'"", 'N2': ""'60.04'""}",Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts ,50.0|ml/min,,,,,Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts 
2,VAg,673.15,8.0,"{'CO': ""'7.1'"", 'H2O': ""'32.9'"", 'N2': ""'60.04'""}",Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts ,50.0|ml/min,,,,,Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts 
3,VAg,523.15,10.0,"{'CO': ""'7.1'"", 'H2O': ""'32.9'"", 'N2': ""'60.04'""}",Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts ,50.0|ml/min,,,,,Insights into the catalytic production of hydrogen from propane in the presence of oxygen: Cooperative presence of vanadium and gold catalysts 
0,Pt,523.15,100.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,,ceria,,400|atmospheric,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
1,Pt,423.15,15.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,8622.0|h−1.,ceria,,,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
2,Pt,573.15,1.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,8622.0|h−1.,ceria,,,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
3,Pt,523.15,0.5,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,8622.0|h−1.,ceria,,,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
4,Pt,593.15,88.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,,ceria,,5|atmospheric,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
5,CePt,573.15,90.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,,ceria,,110|atmospheric,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
6,CePt,593.15,88.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,,ceria,,10|atmospheric,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
7,CePt,573.15,92.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,,ceria,,10|atmospheric,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
8,CePt,573.15,45.0,"{'CO': '1.0', 'Ar': '99.0'}",Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology ,8622.0|h−1.,ceria,,,,Synthesis of nano-Pt onto ceria support as catalyst for water–gas shift reaction by Reactive Spray Deposition Technology 
0,Pd,663.15,80.0,"{'CO': '8.0', 'H2O': '32.0', 'CO2': '24.0', 'H2': '36.0'}",Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction ,3450.0|h−1,,,,,Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction 
1,Pd,,96.1,"{'CO': '8.0', 'H2O': '32.0', 'CO2': '24.0', 'H2': '36.0'}",Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction ,,,,11|bar,,Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction 
2,Pd,,94.8,"{'CO': '8.0', 'H2O': '32.0', 'CO2': '24.0', 'H2': '36.0'}",Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction ,,,,11|bar,,Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction 
3,Pd,,90.2,"{'CO': '8.0', 'H2O': '32.0', 'CO2': '24.0', 'H2': '36.0'}",Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction ,,,,11|bar,,Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction 
4,Pd,,89.7,"{'CO': '8.0', 'H2O': '32.0', 'CO2': '24.0', 'H2': '36.0'}",Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction ,,,,11|bar,,Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction 
5,Pd,,89.3,"{'CO': '8.0', 'H2O': '32.0', 'CO2': '24.0', 'H2': '36.0'}",Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction ,,,,11|bar,,Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction 
6,Pd,,88.6,"{'CO': '8.0', 'H2O': '32.0', 'CO2': '24.0', 'H2': '36.0'}",Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction ,,,,11|bar,,Performance of a Pd/PSS membrane reactor to produce high purity hydrogen via WGS reaction 
0,Co,473.15,18.6,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
1,Co,373.15,30.0,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
2,Co,473.15,15.0,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
3,Co,473.15,5.2,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
4,Co,473.15,6.8,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
5,Co,473.15,26.0,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
6,Co,473.15,24.1,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
7,Co,473.15,3.3,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
8,Co,473.15,1.8,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
9,Co,473.15,78.0,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
10,Co,473.15,94.0,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
11,Co,473.15,92.9,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
12,Co,473.15,88.0,"{'CO': '2.0', 'CO2': '2.0', 'H2': '8.1', 'H2O': '7.5'}",Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction ,100.0|cm3min−1,ZrO2,,7.5|kPa,,Investigation of the effect of the preparation method on the activity and stability of Au/CeZrO4 catalysts for the low temperature water gas shift reaction 
0,Al2O3CaRh,573.0,63.5,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,,Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
1,Al2O3CaRh,573.0,63.5,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,2.5|SCO2(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
2,Al2O3CaRh,573.0,63.5,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,50.2|SCO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
3,Al2O3CaRh,573.0,63.5,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,40.0|SCH4(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
4,Al2O3CaRh,573.0,63.5,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,7.1|SCH3CHO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
5,Al2O3CaFeRh,573.0,99.3,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,,Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
6,Al2O3CaFeRh,573.0,99.3,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,43.0|SCO2(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
7,Al2O3CaFeRh,573.0,99.3,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,12.3|SCO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
8,Al2O3CaFeRh,573.0,99.3,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,44.7|SCH4(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
9,Al2O3CaFeRh,573.0,99.3,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,0.0|SCH3CHO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
10,Al2O3CaRh,623.0,93.4,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,,Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
11,Al2O3CaRh,623.0,93.4,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,16.7|SCO2(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
12,Al2O3CaRh,623.0,93.4,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,47.0|SCO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
13,Al2O3CaRh,623.0,93.4,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,36.4|SCH4(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
14,Al2O3CaRh,623.0,93.4,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,0.0|SCH3CHO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
15,Al2O3CaFeRh,623.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,,Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
16,Al2O3CaFeRh,623.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,60.3|SCO2(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
17,Al2O3CaFeRh,623.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,0.0|SCO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
18,Al2O3CaFeRh,623.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,39.7|SCH4(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
19,Al2O3CaFeRh,623.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,0.0|SCH3CHO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
20,Al2O3CaRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,,Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
21,Al2O3CaRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,55.5|SCO2(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
22,Al2O3CaRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,15.7|SCO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
23,Al2O3CaRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,28.8|SCH4(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
24,Al2O3CaRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,0.0|SCH3CHO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
25,Al2O3CaFeRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,,Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
26,Al2O3CaFeRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,63.8|SCO2(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
27,Al2O3CaFeRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,0.0|SCO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
28,Al2O3CaFeRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,36.2|SCH4(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
29,Al2O3CaFeRh,673.0,100.0,"{'H2O': '1.0', 'Ar': '40.0'}",Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst ,"34000.0|h−1,",Al2O3,,,0.0|SCH3CHO(%),Carbon monoxide-free hydrogen production via low-temperature steam reforming of ethanol over iron-promoted Rh catalyst 
0,Al2O3Pt,633.15,90.0,"{'H2O': '0.5', 'He': '30.0'}",Mechanistic aspects of the low temperature steam reforming of ethanol over supported Pt catalysts ,60.0|cm3min−1.,Al2O3,"['80', 'm2/g)']",,,Mechanistic aspects of the low temperature steam reforming of ethanol over supported Pt catalysts 
0,Ni,523.15,36.0,,Adsorption-enhanced steam–methane reforming ,,,"['137.6', 'm2/g)']",,,Adsorption-enhanced steam–methane reforming 
1,Ni,923.15,82.0,,Adsorption-enhanced steam–methane reforming ,,,"['137.6', 'm2/g)']",,,Adsorption-enhanced steam–methane reforming 
0,Ni,1073.15,80.0,"{'H2O': '0.055', 'H2': '24.0'}",Highly active and poison-tolerant nickel catalysts for tar reforming synthesized through controlled hydrothermal synthesis ,24000.0|h−1,NiO,,,,Highly active and poison-tolerant nickel catalysts for tar reforming synthesized through controlled hydrothermal synthesis 
0,Co,573.15,95.4,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
1,Co,603.15,20.0,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
2,Co,823.15,20.0,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
3,Co,423.15,63.7,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
4,Co,573.15,95.4,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
5,Co,473.15,64.4,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
6,Co,523.15,5.0,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
7,Co,573.15,95.4,"{'H2': '20.0', 'CO2': '20.0', 'He': '5.0'}",Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction ,7500.0|h−1,silica,"['88.1', 'm2/g,']",,,Hydrogen-selective zeolite membrane reactor for low temperature water gas shift reaction 
0,Ru,773.15,50.0,,Ethanol steam reforming over supported ruthenium and ruthenium–platinum catalysts: Comparison of organometallic clusters and inorganic salts as catalyst precursors ,15000.0|h−1,,,,,Ethanol steam reforming over supported ruthenium and ruthenium–platinum catalysts: Comparison of organometallic clusters and inorganic salts as catalyst precursors 
0,,540.0,85.0,"{'steam': '25.0', 'H2': '75.0'}",Parametric study of microreactor design for water gas shift reactor using an integrated reaction and heat exchange model ,,,,,,Parametric study of microreactor design for water gas shift reactor using an integrated reaction and heat exchange model 
0,CeO2,463.15,13.0,"{'CO': ""'4'"", 'H2O': ""'9.4'"", 'H2': ""'37.9'"", 'CO2': ""'3'""}",Oxygen-enhanced WGS over ceria-supported Au–Co3O4 bimetallic catalysts ,"12000.0|h−1,",CeO2,"['227', 'm2/g)']",,,Oxygen-enhanced WGS over ceria-supported Au–Co3O4 bimetallic catalysts 
1,CeO2,473.15,50.0,"{'CO': ""'4'"", 'H2O': ""'9.4'"", 'H2': ""'37.9'"", 'CO2': ""'3'""}",Oxygen-enhanced WGS over ceria-supported Au–Co3O4 bimetallic catalysts ,"12000.0|h−1,",CeO2,"['227', 'm2/g)']",,,Oxygen-enhanced WGS over ceria-supported Au–Co3O4 bimetallic catalysts 
0,As,853.15,87.0,"{'water': '99.5', 'steam': '9.0'}",Hydrogen production by glycerol steam reforming catalyzed by Ni-promoted Fe/Mg-bearing metallurgical wastes ,20600.0|cm3gcat−1h−1.,,"['7.9', 'm2g−1)']",,,Hydrogen production by glycerol steam reforming catalyzed by Ni-promoted Fe/Mg-bearing metallurgical wastes 
0,ZrRh,773.0,0.7,"{'CO': '10.0', 'H2O': '30.0', 'H2': '5.0', 'CO2': '5.0', 'N2': '50.0'}",The role of rhodium in the mechanism of the water–gas shift over zirconia supported iron oxide ,15.0|min,,"['100', 'm2g−1).']",,,The role of rhodium in the mechanism of the water–gas shift over zirconia supported iron oxide 
0,,773.15,19.7,{'H2O': '25.0'},Hydrogen production from bioethanol reforming in supercritical water ,3.2|mL/min,,,25|MPa,,Hydrogen production from bioethanol reforming in supercritical water 
1,,773.15,19.7,{'H2O': '25.0'},Hydrogen production from bioethanol reforming in supercritical water ,3.2|mL/min,,,25|MPa,0.04|CO,Hydrogen production from bioethanol reforming in supercritical water 
2,,773.15,19.7,{'H2O': '25.0'},Hydrogen production from bioethanol reforming in supercritical water ,3.2|mL/min,,,25|MPa,0.02|CO2,Hydrogen production from bioethanol reforming in supercritical water 
3,,773.15,19.7,{'H2O': '25.0'},Hydrogen production from bioethanol reforming in supercritical water ,3.2|mL/min,,,25|MPa,0.03|CH4,Hydrogen production from bioethanol reforming in supercritical water 
4,,773.15,19.7,{'H2O': '25.0'},Hydrogen production from bioethanol reforming in supercritical water ,3.2|mL/min,,,25|MPa,0.06|CH3CHO,Hydrogen production from bioethanol reforming in supercritical water 
